mode,n,targets_needed(%),hit@1(%),hit@5(%),mrr,precision@5(%),ndcg@5
prediction_conditioned,6,100.0,100.0,100.0,1.0,50.0,0.611
standard,6,0.0,50.0,83.3,0.575,33.3,0.332
