mode,n,targets_needed(%),hit@1(%),hit@5(%),mrr,precision@5(%),ndcg@5
prediction_conditioned,6,100.0,33.3,100.0,0.625,43.3,0.424
standard,6,0.0,50.0,50.0,0.5,20.0,0.249
