mode,n,targets_needed(%),hit@1(%),hit@5(%),mrr,precision@5(%),ndcg@5
prediction_conditioned,6,100.0,83.3,100.0,0.889,30.0,0.384
standard,6,0.0,0.0,100.0,0.225,23.3,0.16
